"1","2","3","4","5","6"
"야구","야구는 베이스러닝 던지기 사이드 오버 언더 다 있는데 외야선수들 보면 공이 오는 위치 그걸 판단하는 첫발이 어려웁니다. 그리고 타격도 프로야구 보면 시속 140~150 장도 나오는데 공이 포수가 잡기 전에 생각할 시간은 가의 0.3초입니다 공을 보는데 0.15초 판단하는데 0.5초 칠준비 하는데 0.1초 입니다 그러므로 가장 어렵다 생각합니다 이상입니다","주 1-2회","1-3년","남성","기술적 난이도"
"복싱","복싱은 상대방의 움직임과 방어수단등등 여러가지를 예측하고 뇌에서 계산하여 공격을 하고 또한 기회를 잘노려야되기에 인내심과 뇌 그리고 피지컬 까지 전부 쓰는 종목이다 그리고 계속 맞으면서 스포츠를 진행하기때문에 체력적으로도 매우 힘들고 전략적이여야 되기에 매유 힘들다","거의 하지 않음","1-3년","남성","부상의 위험"
"배구","공을 받아 치기 위해 계속 뛰어야하고 공을 잘 치려면 손에 힘을 적절하게 줘야지만 잘쳐지기 때문에.","주 1-2회","1-3년","여성","체력 소모"
"볼링","원하는대로 공이 안가서","거의 하지 않음","1년 미만","남성","기술적 난이도"
"야구","많은 운동 실력이 필요로 한다","주 3-4회","10년 이상","남성","체력 소모, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"축구","긴 경기 시간, 하염없이 뛰어야 하는 스포츠, 짧은 중간 휴식시간","거의 하지 않음","1년 미만","남성","체력 소모, 정신적 스트레스, 부상의 위험, 훈련 시간"
"축구","환경에 영향을 많이 받기 때문에","주 1-2회","5-10년","남성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"축구","엄청 뛰어야해서","거의 하지 않음","1년 미만","남성","체력 소모, 부상의 위험"
"농구","뛰고 점프하고 쉴틈이 없어서요","매일","10년 이상","응답하고 싶지 않음","체력 소모, 부상의 위험, 기술적 난이도, 훈련 시간"
"농구","키가 작어서 골 넣기 어려워요","거의 하지 않음","1년 미만","남성","체력 소모, 부상의 위험"
"축구","모든 포지션이 경기장을 뛰고 소통 해야 되기 때문에","주 1-2회","5-10년","남성","체력 소모, 정신적 스트레스"
"축구","공격 수비 할것없이 여러 선수가 경기진행에따라 움직여야해서","거의 하지 않음","5-10년","남성","체력 소모"
"헬스","계속해서 무거운 중량을 들어야하기 때문에","매일","1년 미만","남성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도"
"축구","운동량","주 1-2회","3-5년","남성","체력 소모, 훈련 시간"
"역도","사람이 할 수 있는게 아님. 길가다가 모르는 사람들한테 축구 해보세요 하면 다 못하더라도 대충은 하는데 길가는 사람들한테 역도 해보세요 하고 물어보면 일단 부상부터 시작해서 사람 ㅈ되게 만들 스 잇음","거의 하지 않음","1년 미만","남성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도"
"축구","경기장에서 뛰다 보면 체력 소모와 피지컬적인 싸움이 많이 일어나는 스포츠기 때문이다.","월 1-2회","5-10년","남성","체력 소모, 부상의 위험, 기술적 난이도"
"축구","걍 겁나 뛰어서","월 1-2회","3-5년","남성","체력 소모"
"축구","엄청난 체력 + 기술을 필요로 하는 스포츠라서","월 1-2회","5-10년","남성","체력 소모, 기술적 난이도"
"축구","너때매요","주 3-4회","1-3년","여성","체력 소모"
"야구","맨날 해서","월 1-2회","1-3년","남성","부상의 위험, 기술적 난이도, 경기 규칙의 복잡성"
"농구","드리블하기 어렵다","주 1-2회","1년 미만","남성","체력 소모"
"축구","뛰고 발로 차고 체력 소모가 심한 것 같아요.","거의 하지 않음","1년 미만","남성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성"
"태권도","점프력, 유연성, 순발력과 힘을 한번에 요구하고 사범단에서 하는 것과 같이 날아다니는 것은 많은 노력을 요하기 때문입니다.","매일","5-10년","여성","체력 소모, 부상의 위험, 기술적 난이도"
"수영","물에서 하기 때문이다","거의 하지 않음","1-3년","여성","체력 소모, 부상의 위험, 기술적 난이도"
"축구","계속 뛰어야해서","주 1-2회","1년 미만","여성","체력 소모, 정신적 스트레스"
"축구","계속 뛰고 근육을 많이 쓰기 때문","","10년 이상","남성","체력 소모, 훈련 시간"
"농구","축구","","3-5년","남성","체력 소모, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"축구","쉬지 않고 포지션을 바꿔야한다","","5-10년","남성","체력 소모"
"수영","시간이 많이 들기때문","","1-3년","여성","체력 소모, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성"
"농구,축구","키 차이","","1년 미만","남성","훈련 시간"
"탁구","공을 못잡아요","","1년 미만","여성","정신적 스트레스"
"농구","코트를 쉴새없이 왔다갔다 해야함","","3-5년","남성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"한 번에 시작할 때 많은 체력을 쓰는 스포츠","체력을 지속적으로 쓰는 스포츠는 잘 조절하면 되지만, 한 번에 시작할 때 방대한 양의 체력을 쓰면 쉽게 소진이 된다","","3-5년","기타","체력 소모"
"축구","경기장 왔다갔다 계속 뛰어야함","","1-3년","남성","체력 소모, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"축구","실외 운동이라서 날씨에도 영향을 받고 90분 동안 뛰고 계속 움직여야 되서","","5-10년","남성","체력 소모, 부상의 위험, 훈련 시간"
"마라톤","계속 뛰어야되니깐…","","1년 미만","남성","체력 소모, 기술적 난이도, 훈련 시간"
"축구","많이 움직여야하기 때문이다.","","1년 미만","남성","체력 소모, 정신적 스트레스, 훈련 시간"
"축구","스프린트를 많이 하기때문에","","5-10년","남성","체력 소모, 훈련 시간"
"종합격투기","다칠 위험이 많다","","1년 미만","남성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 훈련 시간"
"럭비","몸싸움때문에","","1년 미만","남성","체력 소모, 부상의 위험, 기술적 난이도"
"축구","체력","","5-10년","남성","체력 소모, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"축구","90분 내내 뛰는데 다른 설명은 필요 없죵","","1-3년","남성","체력 소모, 정신적 스트레스, 훈련 시간"
"축구","팀워크 안맞으면 눈치가 보여서,,,","","3-5년","남성","기술적 난이도"
"축구","체력 소모가 굉장히 크고 전문적으로 할수로 매우 힘들다","","5-10년","여성","체력 소모, 부상의 위험, 훈련 시간"
"복싱","신체적,정신적부분에서 선천적으로 피료한 요소가 많이 피료해서","","1-3년","남성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 훈련 시간"
"베드민턴","많이 뚸어야하고 치는것도 어렵기 때문이다","","1년 미만","남성","체력 소모, 부상의 위험, 기술적 난이도"
"축구","피지컬, 체력부족, 더위","","5-10년","남성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"농구","키가 커야함","","5-10년","응답하고 싶지 않음","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"헬스","정신적인 문제","","5-10년","남성","부상의 위험, 기술적 난이도"
"수영","숨 참아야함","","5-10년","기타","체력 소모, 기술적 난이도"
"야구","밥 많이 먹고 뛰어서","","1년 미만","응답하고 싶지 않음","기술적 난이도"
"복싱","아파서","","10년 이상","여성","부상의 위험, 기술적 난이도"
"농구","키가 커야하고 민첩해야해서","","1년 미만","여성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"축구","체력, 정신적","","5-10년","여성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"축구","개발이여서","","1년 미만","남성","체력 소모, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성"
"축구","체력이 딸려서","","5-10년","남성","체력 소모"
"E Sport's","정신적인 이유","","10년 이상","남성","부상의 위험"
"헹스","자세 때문에","","10년 이상","여성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"배구","점프력이 좋아야 해서","","1-3년","남성","체력 소모, 정신적 스트레스, 훈련 시간"
"피구","잘 피해야 해서","","3-5년","기타","기술적 난이도"
"축구","전신의 근육울 사용하기 때문에","","3-5년","남성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"푸드 파이팅","음식을 많이 먹어야해서","","10년 이상","기타","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"축구","피지컬이 좋아야하기 때문에","","5-10년","남성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"수영","숨울 오래 참아야하기 때문에","","10년 이상","여성","체력 소모, 훈련 시간"
"축구","스프린트를 많이해서 숨이 차기 때문에","","10년 이상","남성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"태권도","중심을 잘 잡아야 하기 때문에","","10년 이상","여성","기술적 난이도"
"헬스","근육의 생김새는 타고나는거기 때문에","","10년 이상","남성","부상의 위험, 기술적 난이도, 훈련 시간"
"축구","축구장의 크기가 크기 때문에","","5-10년","기타","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"테니스","종아리에 근육통이 많이 오기 때문에","","1-3년","여성","훈련 시간"
"베드민턴","순발력이 중요한 스포츠이기 때문에","","3-5년","여성","기술적 난이도, 경기 규칙의 복잡성"
"마라톤","강한 정신력이 필요하기 때문","","1년 미만","남성","정신적 스트레스"
"축구","자외선을 많이 받기 때문에","","3-5년","기타","체력 소모, 훈련 시간"
"야구","강한 힘이 필요하기 땨문에","","3-5년","응답하고 싶지 않음","부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"농구","피지컬이 좋아야 하기 때문에","","5-10년","남성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
"수영","체력적으로 힘들잖아","","3-5년","여성","체력 소모, 기술적 난이도"
"E스포츠","컴퓨터를 잘 다뤄여하기 때문에","","10년 이상","남성","체력 소모, 정신적 스트레스, 부상의 위험, 기술적 난이도, 경기 규칙의 복잡성, 훈련 시간"
